Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,747.109985,779.979980,724.169983,758.880005,758.880005,43096800
2016-01-01,743.000000,752.000000,673.260010,742.950012,742.950012,46552500
2016-02-01,750.460022,789.869995,663.059998,697.770020,697.770020,64329300
2016-03-01,703.619995,757.880005,685.340027,744.950012,744.950012,41735400
2016-04-01,738.599976,769.900024,689.000000,693.010010,693.010010,42140100
2016-05-01,697.630005,739.729980,689.010010,735.719971,735.719971,34941900
2016-06-01,734.530029,737.210022,663.283997,692.099976,692.099976,39358300
2016-07-01,692.200012,778.549988,688.215027,768.789978,768.789978,29898300
2016-08-01,761.090027,789.750000,761.090027,767.049988,767.049988,26373900
2016-09-01,769.250000,789.849976,754.000000,777.289978,777.289978,27540000
2016-10-01,774.250000,816.679993,769.500000,784.539978,784.539978,33881500
2016-11-01,782.890015,795.632996,727.539978,758.039978,758.039978,42595000
2016-12-01,757.440002,804.380005,737.025024,771.820007,771.820007,32079700
2017-01-01,778.809998,841.950012,775.799988,796.789978,796.789978,33191600
2017-02-01,799.679993,833.450012,791.190002,823.210022,823.210022,25682500
2017-03-01,828.849976,853.500000,803.369995,829.559998,829.559998,33835100
2017-04-01,829.219971,916.849976,817.020020,905.960022,905.960022,25161900
2017-05-01,901.940002,979.270020,901.450012,964.859985,964.859985,32180100
2017-06-01,968.950012,988.250000,908.309998,908.729980,908.729980,43577200
2017-07-01,912.179993,986.200012,894.789978,930.500000,930.500000,36679200
2017-08-01,932.380005,941.979980,903.400024,939.330017,939.330017,27958000
2017-09-01,941.130005,959.786011,909.700012,959.109985,959.109985,28053800
2017-10-01,959.979980,1048.390015,947.840027,1016.640015,1016.640015,31779700
2017-11-01,1017.210022,1062.375000,1013.010010,1021.409973,1021.409973,24265500
2017-12-01,1015.799988,1078.489990,988.280029,1046.400024,1046.400024,28163700
2018-01-01,1048.339966,1186.890015,1045.229980,1169.939941,1169.939941,28734500
2018-02-01,1162.609985,1174.000000,992.559998,1104.729980,1104.729980,42384100
2018-03-01,1107.869995,1177.050049,980.640015,1031.790039,1031.790039,45353300
2018-04-01,1022.820007,1094.165039,990.369995,1017.330017,1017.330017,41715900
2018-05-01,1013.659973,1110.750000,1006.289978,1084.989990,1084.989990,31800500
2018-06-01,1099.349976,1186.286011,1096.010010,1115.650024,1115.650024,32076800
2018-07-01,1099.000000,1273.890015,1093.800049,1217.260010,1217.260010,31940100
2018-08-01,1228.000000,1256.500000,1188.239990,1218.189941,1218.189941,28762400
2018-09-01,1204.270020,1212.989990,1146.910034,1193.469971,1193.469971,28847000
2018-10-01,1199.890015,1209.959961,995.830017,1076.770020,1076.770020,48494700
2018-11-01,1075.800049,1095.569946,996.020020,1094.430054,1094.430054,36642700
2018-11-30,1089.069946,1095.520020,1078.250000,1094.430054,1094.430054,2580612
